,LATITUDE,LONGITUDE,ADDRESS,TO_WORK,TO_HOME
0,38.868083664454204,-76.99032167099439,"1107 GOOD HOPE ROAD SE Washington, DC",43.016666666666666,52.55
1,38.91964349589848,-76.96332124706,"3100 V STREET NE Washington, DC",53.28333333333333,67.88333333333334
2,38.852558152093216,-77.03121800292767,"1071 OHIO DRIVE SW Washington, DC",33.15,43.85
3,38.90499152998352,-76.92557454514116,"5152 LEE STREET NE Washington, DC",58.65,69.16666666666667
4,38.85145992209611,-77.00975940246349,"107 BOUNDARY ROAD SW Washington, DC",44.61666666666667,57.25
5,38.85047107274207,-77.01908829791054,"234 MURRAY LANE SW Washington, DC",50.45,59.78333333333333
6,38.859490005810756,-76.99017523465291,"2627 BOWEN ROAD SE Washington, DC",45.65,54.7
7,38.878562689020924,-76.97427873976925,"1950 M STREET SE Washington, DC",43.86666666666667,53.0
8,38.943839543629956,-77.10430879898638,"5133 52ND STREET NW Washington, DC",33.13333333333333,50.0
9,38.8874710578268,-76.94013873464094,"4601 TEXAS AVENUE SE Washington, DC",52.53333333333333,62.666666666666664
10,38.83464125498948,-76.98539666848377,"1216 SOUTHERN AVENUE SE Washington, DC",52.083333333333336,57.2
11,38.95344920242106,-77.06695510686055,"3229 ELLICOTT STREET NW Washington, DC",38.983333333333334,54.53333333333333
12,38.96367117415083,-77.0041985465149,"6014 NEW HAMPSHIRE AVENUE NE Washington, DC",52.35,62.233333333333334
13,38.87241168381632,-77.00005642111907,"1492 4TH STREET SE Washington, DC",43.7,51.31666666666667
14,38.86435962587025,-77.0232607968966,"1081 OHIO DRIVE SW Washington, DC",33.05,43.88333333333333
15,38.97292343227075,-77.06904865617432,"3349 TENNYSON STREET NW Washington, DC",37.06666666666667,60.266666666666666
16,38.88947166017996,-76.97885001766194,"2 18TH STREET SE Washington, DC",48.3,59.05
17,38.9237577020754,-76.98741957251407,"1295 BRENTWOOD ROAD NE Washington, DC",53.2,62.38333333333333
18,38.83789248027123,-77.00504212291659,"115 UPSAL STREET SE Washington, DC",45.75,56.333333333333336
19,38.94481010231757,-77.08466762653643,"4317 WARREN STREET NW Washington, DC",34.1,52.733333333333334
20,38.988076479827015,-77.04786286047513,"2045 PARKSIDE DRIVE NW Washington, DC",39.166666666666664,63.56666666666667
21,38.89923751649547,-77.0597338628729,"2902 VIRGINIA AVENUE NW Washington, DC",30.833333333333332,36.266666666666666
22,38.90126906105152,-76.9766584676602,"842 19TH STREET NE Washington, DC",52.96666666666667,65.16666666666667
23,38.869863830872454,-76.94096907432868,"4226 MASSACHUSETTS AVENUE SE Washington, DC",54.31666666666667,60.483333333333334
